address,1,10,42161,1_isEOA,10_isEOA,42161_isEOA
0xb3f66c81ee6f82730ebe57ca1a3bdd638dde5bba,1,0,0,1,1,1
0x18a662be15f9a21d5419c7b5e0598a099c126087,1,0,0,1,1,1
0x8fead6cb99fcf391352f25eec7baf451a1e037a3,1,0,0,1,1,1
0x15bdd87fe60e212c150d18d205766bda86350152,1,0,0,1,1,1
0x07bab9184eae3e2ab3a5b487f3206de16448ad64,1,0,0,1,1,1
0x5e9fbadcef6ffeee6ef10bdb0528e6541224f0d0,1,0,0,1,1,1
0xa29f76f2c2a57bd8c1fc865543d800a093f34e3f,1,0,0,1,1,1
0x0e3eb2eab0e524b69c79e24910f4318db46baa9c,1,0,0,0,0,0
0xa7e84d353c8a7f2ba43dcbc426c98850ee0ab243,1,0,0,1,1,1
0x4fa2f3f266c8d7c14f568cabbf6b60514f121925,1,0,0,1,1,1
0xe5859cbc7a5c954d33480e67266c2bbc919a966e,1,0,0,1,1,1
0x4a35d9910d017693de5126ebddb56ec729bb7069,1,0,0,1,1,1
0x139776871ee95f55d20b10d9ba5a0385451066cd,1,0,0,1,1,1
0x56966c12e3e91bc40f97558cc688b43453be3498,1,0,0,1,1,1
0xe2e4f2a725e42d0f0ef6291f46c430f963482001,1,0,0,1,1,1
0x4d2f1e2f76b76cab4ab620180949c15bbde12ad6,1,0,0,1,1,1
0xfbdc0e9522c9d8d40438d2c247bfa43dd5915864,1,0,0,1,1,1
0x51f4e96abf315ec7597cb56d89637455ebf60f4e,1,0,0,1,1,1
0xfdb4ccdfdcd5ae3e45e85945e2e19abd3f422d9e,1,0,0,1,1,1
0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c,1,1,0,1,1,1
0xc5150ee35bbd51f9b1a6ee0d7a0a6f9bd8e96e75,1,0,0,1,1,1
0x023e358a8ed5782c72ed6ada3b71b41fa234e74b,1,0,0,1,1,1
0xe236f6b2f8d6329cb4995b2ea7d6a3248fbc9433,1,0,0,1,1,1
0xf829f3b414f75e5ab99295ea14bd2372044434f4,1,0,0,1,1,1
0xc255e0a1be0a4b7b8bf5ebe8d0aba162cf75bae2,1,0,0,1,1,1
0xaec80b4fbe227198720b1d1b82a12968baa0b144,1,0,0,1,1,1
0xec9b106e925ccbf65d1cde7232154f3788fdac4c,1,0,0,1,1,1
0x049808d5eaa90a2665b9703d2246dded34f1eb73,1,0,0,1,1,1
0x6e8ae13ef0d9d93848aa27f2cf522e7e6b504dc0,1,0,0,1,1,1
0xcaa4e0af6744c4d1a8493144b739e395a32732b5,1,0,0,1,1,1
0x591fdf9dadbfb1dce406dc5dfac6202eeda3567f,1,0,0,1,1,1
