address,eth_amount,arb_amount,distribution_network
0x50AdF7A75d7cD6132ACc0a2FB21C019011286635,0,8966083094565698404352,42161
0x7fF5526f2B01B6eF5e30EB6B0066642476Ee01A1,0,8783191472094593417216,42161
0x5D7de07FD214f0Ad436E808B0fFe338fCa02043f,0,8313179405261514735616,42161
0xCf67910ed04fB23a2ccff3A4bEC259Bb0bf3841c,0,8072927283870982733824,42161
0x6De56F8fB34d6081FA173bFC29b3E953a78998dC,0,8072927283870982733824,42161
0x49c6fB6CBe27Ce0E773B85840Cb072791368e5Bb,0,8036475307824108273664,42161
0x9eEf87f4C08d8934cB2a3309dF4deC5635338115,0,7246280510962139136000,42161
0x3b08AA814bEA604917418A9F0907E7fC430e742C,0,6281184741262991818752,42161
0x5416808256eA66367d7Ec1Ae2C37BB64EC2425d4,0,6248234536214017867776,42161
0xCB11d6C568448cAbEC62C2c3469b538Eb37E1341,0,6025434231753718890496,42161
0xb90F4C0937aa29968d39182DeF59BbB66Bbea8a1,0,5922548714360949178368,42161
0xCB33844b365c53D3462271cEe9B719B6Fc8bA06A,0,5795441810489388040192,42161
0x09732C94654F77E3650424942A1E7e05181F1420,0,5653428849598644879360,42161
0x60063d83E8AB6f2266b6eFcbfa985640CDD3Fc90,0,5597229565746098470912,42161
0x605B5F6549538a94Bd2653d1EE67612a47039da0,0,5596043074338080948224,42161
0xA40C8F96524cE6AFBfE1c080C18AA9587C0199c9,0,5595692697688229281792,42161
0xCE612c11C116d3Cbb7694E100694b358da79B189,0,5583503015882778476544,42161
0xd33a97De61e09d26937dd8Cf5F7Fb511B82Ddcc6,0,5102980481012734099456,42161
0xc90eA4d8D214D548221EE3622a8BE1D61f7077A2,0,4843756303805903273984,42161
0x6C2a066B6CE2872BD5398347E97223C6F6F84104,0,4843756303805903273984,42161
0xC7128596e0cbFe72776EedBd306237BAf34Db9e6,0,4565679967111459373056,42161
0xdc6beCC975B73e5F777C17a3F1f337d0fE2c1aaC,0,4521899348760065998848,42161
0x214f4Ec3179Bf50994801a4E808A4a62310735e0,0,4427212179357019144192,42161
0x2c5D618B5ddBf80a33D65Dbe48f3968067A66cC4,0,3896468714188685967360,42161
0x04730f0ee7da5e9D72E8EAD781983125045f5403,0,3687265750926812512256,42161
0x52D8CdDF3C19E5bD72aA911A9649878F74D03ce8,0,3566302660868932370432,42161
0x0Cec743b8CE4Ef8802cAc0e5df18a180ed8402A7,0,3526709434268805234688,42161
0xFABEcA5418bDC3A8289EC0FA5B04edEb1D09c90f,0,3498268395445452537856,42161
