"HolderAddress","Unique Tokens","Quantity","PendingBalanceUpdate"
"0xd4d9c70fcc8a3e920ad48d1cb1596f8f097c96b7","1","1","No"
"0x68575571e75d2cfa4222e0f8e7053f056eb91d6c","1","1","No"
"0x15962221e0e7a41de9da1615f9cb64cbfff83408","1","1","No"
"0xe9ffdad574d66a2288fdb756907e9a10c16aeea5","1","1","No"
"0x4e6f10d1498d84fc0b3342974fe314dbdd3790ea","1","1","No"
"0xe551388b683bb1e34e27e5a7b00eabe79b080bf7","1","1","No"
"0x16503d6b9e8cecc24a8810862a081b4f6fc4c497","1","1","No"
"0x16df361da7a8aa3c6f3d8b65ade18f465a9f4e41","1","1","No"
"0x125955cd603650eb3b1c0cf000ab78ad0213ddaf","1","1","No"
"0x675f60d68701ed237e19b78152de1a68f3500e2f","1","1","No"
"0x0f585d3a2f9d46433cce13e68377689a73868f75","1","1","No"
"0x854f1269b659a727a2268ab86ff77cfb30bfb358","1","1","No"
"0x6ac625d107ceee595a35c464ed4c113cdbf20fed","1","1","No"
"0xa1c7bd2e48f7f3922e201705f3491c841135f483","1","1","No"
"0x11bc1fe797da8428ff275c9ad3c02971ce8ba104","1","1","No"
"0x0a474c5ad18d20441dc78f8e0f0731b3def9b54d","1","1","No"
"0x5584cf54ade7c81ab6d6bc870c714f87fc0a7721","1","1","No"
"0x6af3f4789f7fbeeb475a983f0bf6fdc5981e7632","1","1","No"
"0x3881871c3621e9a8bb9f5c046a2c944c24229874","1","1","No"
"0x2c5abc767ab347a852112b80bf62b221f15a6fe7","1","1","No"
"0x6b7cf8d60765d8a50df57f8228be215c202a3149","1","1","No"
"0x4ef68d03eca0c984b9fd5d4ef8d06c6b3bd8df33","1","1","No"
"0xcbd7d22dd7f5b7e856478027844149c47999e38a","1","1","No"
"0xacdba7adae48167c130c2fbdb08b69db135b453c","1","1","No"
"0x0773a995e752eec6456ae887dec5d4e06479fa9c","1","1","No"
"0x7029bfa9a85ebf4653945be520dc3b7f1181f4af","1","1","No"
"0x57392df8aa09a360e5003ef25556ac8abdbe5c4f","1","1","No"
"0xbf39ddbac5cfedc4476b4088904131ce3cad1d14","1","1","No"
"0xbb34666407e47f87a44e4540ee765909506cb105","1","1","No"
"0x8dc490643c58795e5c4dfb9b24682aa6d9dec6c0","1","1","No"
"0x74e2f04def059397d4a3382fd4a85df062d75bf4","1","1","No"
"0xe73d4d6c9087c95988c0757d740ffab47139c15c","1","1","No"
"0xd7a1bd5db8cf012b1ffb45fe721189da09d824a7","1","1","No"
"0x0c4e0544f0ecfdf4387b45e44d2f45d26ae65d02","1","1","No"
"0x51f4e96abf315ec7597cb56d89637455ebf60f4e","1","1","No"
