Address,pctOfWeightedTotal,1_isContract,42161_isContract,10_isContract,flagged?,chain,SDL,veSDL
0xa76595083F0436912A50418901AcA7ED044Bb14F, 0.55619,1,0,0,0,1,3751200000000000000000000,0
0x50AdF7A75d7cD6132ACc0a2FB21C019011286635, 0.54520,0,0,0,0,42161,1698581385386404305409269,494629147102324120932675
0x95f1872c2c63f54072BD42F68BeEe71E0D6f67d3, 0.54361,0,0,0,0,42161,1248965092585850120040370,604347105420339848691740
0x7fF5526f2B01B6eF5e30EB6B0066642476Ee01A1, 0.52977,0,0,0,0,42161,1003460665394670984671715,642387728380831977856305
0x5D7de07FD214f0Ad436E808B0fFe338fCa02043f, 0.50142,0,0,0,0,42161,3104358268118867988511442,69362971616068543634830
0xCf67910ed04fB23a2ccff3A4bEC259Bb0bf3841c, 0.49793,0,0,0,0,42161,3358290159231940053857861,0
0x6De56F8fB34d6081FA173bFC29b3E953a78998dC, 0.49793,0,0,0,0,42161,3358290159231940053857861,0
0x49c6fB6CBe27Ce0E773B85840Cb072791368e5Bb, 0.48473,0,0,0,0,42161,1588510083152016123927729,420184135417501452533270
0x3b08AA814bEA604917418A9F0907E7fC430e742C, 0.46688,0,0,0,0,42161,3148911134527572883737267,0
0x9eEf87f4C08d8934cB2a3309dF4deC5635338115, 0.43706,0,0,0,0,42161,904239777924407736233054,510888698700087940507660
0x5416808256eA66367d7Ec1Ae2C37BB64EC2425d4, 0.37687,0,0,0,0,42161,626974722306217149375064,478703419393091747704640
0xF02e86D9E0eFd57aD034FaF52201B79917fE0713, 0.36807,1,0,0,0,1,2482486047691527143581937,0
0xb90F4C0937aa29968d39182DeF59BbB66Bbea8a1, 0.35722,0,0,0,0,42161,2409299095393737390072299,0
0xCB33844b365c53D3462271cEe9B719B6Fc8bA06A, 0.34956,0,0,0,0,42161,2357591820900172983022007,0
0x60063d83E8AB6f2266b6eFcbfa985640CDD3Fc90, 0.34523,0,0,0,0,42161,2328414510400811770674784,0
0x09732C94654F77E3650424942A1E7e05181F1420, 0.34099,0,0,0,0,42161,2299820818264236958496240,0
0xCB11d6C568448cAbEC62C2c3469b538Eb37E1341, 0.34036,0,0,0,0,42161,1309219437939256042005577,246593747171009959589470
0x605B5F6549538a94Bd2653d1EE67612a47039da0, 0.33753,0,0,0,0,42161,481851452057629236218243,448656190456491211797120
0xA40C8F96524cE6AFBfE1c080C18AA9587C0199c9, 0.33751,0,0,0,0,42161,461226275645256197832900,453776851908350211137925
0xCE612c11C116d3Cbb7694E100694b358da79B189, 0.33677,0,0,0,0,42161,2271374914166593015513073,0
0xd33a97De61e09d26937dd8Cf5F7Fb511B82Ddcc6, 0.30779,0,0,0,0,42161,2075897843531858276462150,0
0x6C2a066B6CE2872BD5398347E97223C6F6F84104, 0.29876,0,0,0,0,42161,2014974095539164032314716,0
0xC7128596e0cbFe72776EedBd306237BAf34Db9e6, 0.27538,0,0,0,0,42161,1857323420442571127502634,0
0xdc6beCC975B73e5F777C17a3F1f337d0fE2c1aaC, 0.27274,0,0,0,0,42161,1839513436930755317850205,0
0x214f4Ec3179Bf50994801a4E808A4a62310735e0, 0.26703,0,0,0,0,42161,1800994580375027880298805,0
0xc90eA4d8D214D548221EE3622a8BE1D61f7077A2, 0.23783,0,0,0,0,42161,1604060414471373375482964,0
0x2c5D618B5ddBf80a33D65Dbe48f3968067A66cC4, 0.23502,0,0,0,0,42161,1585087583333334000000000,0
0x04730f0ee7da5e9D72E8EAD781983125045f5403, 0.22240,0,0,0,0,42161,1499983583333334000000000,0
0xFABEcA5418bDC3A8289EC0FA5B04edEb1D09c90f, 0.21577,0,0,0,0,42161,1455259069000507356671740,0
0x52D8CdDF3C19E5bD72aA911A9649878F74D03ce8, 0.21510,0,0,0,0,42161,1450775712708999904494514,0
0x0Cec743b8CE4Ef8802cAc0e5df18a180ed8402A7, 0.21271,0,0,0,0,42161,366084499371329728472585,267146161398497002684825
0x5e1042b15B3B0Cf1875A7e9Ea379A9e75318a099, 0.20375,0,0,0,0,42161,1374209107307133091919297,0
0x30A14d1BfBa95f1867a67Ae8C18A950075592C99, 0.19917,1,0,0,0,1,1343316063692776021543144,0
0x973B1E385659E317Dd43B49C29E45e66c0275696, 0.19917,0,0,0,0,42161,1343316063692776021543144,0
0xDe3258C1C45a557F4924d1E4e3d0A4E5341607Ee, 0.19917,0,0,0,0,42161,1343316063692776021543144,0
